"General Settings","Allgemeine Einstellungen"
"Extension Version","Modul Version"
"Active","Aktiv"
"Access Key","Zugriffscode"
"Access Secret","Zugriffsschlüssel"
"Advanced Settings","Erweiterte Einstellungen"
"Attributes Mapping","Attribut Verbindung"
"Document Endpoint","Indexierungsdomain"
"Search Endpoint","Suchdomain"
"Attribute","Attribut"
"Search Attribute","Suchattribut"
"Add Mapping","Verbindung hinzufügen"
"-- Please Select --","-- Bitte auswählen --"
"Name","Name"
"Short Description","Kurzbeschreibung"
"Description","Beschreibung"
"Price","Preis"
"Text Field 1","Textfeld 1"
"Text Field 2","Textfeld 2"
"Text Field 3","Textfeld 3"
"Text Field 4","Textfeld 4"
"Text Field 5","Textfeld 5"
"Literal Field 1","Wortfeld 1"
"Literal Field 2","Wortfeld 2"
"Literal Field 3","Wortfeld 3"
"Literal Field 4","Wortfeld 4"
"Literal Field 5","Wortfeld 5"
"Unsigned Integer Field 1","Zahlenfeld 1"
"Unsigned Integer Field 2","Zahlenfeld 2"
"Unsigned Integer Field 3","Zahlenfeld 3"
"Unsigned Integer Field 4","Zahlenfeld 4"
"Unsigned Integer Field 5","Zahlenfeld 5"
"After mapping attributes go to 'System > Index Management' and run reindex of 'Catalog Search Index'","Nach dem Bearbeiten der Verbindungen starten sie die Indexierung unter 'System > Index-Verwaltung' über 'Katalog Suchindex' neu"
